Task,Image,CommandLine,TargetFilename,ImageLoaded,PipeName,QueryName,EventType,TargetObject,DestinationIp,DestinationPort
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Data.Common.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.ComponentModel.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\wintrust.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\crypt32.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\msasn1.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\cryptsp.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\rsaenh.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\cryptbase.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\msisip.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\wshext.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\AppxSip.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\OpcServices.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\pwrshsip.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Console.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Security.Principal.Windows.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Security.Claims.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.ApplicationInsights.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Diagnostics.DiagnosticSource.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.MemoryMappedFiles.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Private.Xml.Linq.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.Pipes.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Threading.Tasks.Parallel.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.FileSystem.AccessControl.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.FileSystem.DriveInfo.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Security.Permissions.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Text.Encoding.CodePages.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.PowerShell.Commands.Utility.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.PowerShell.MarkdownRender.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.Http.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Collections.NonGeneric.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Diagnostics.StackTrace.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.PowerShell.Commands.Management.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.WebClient.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.ComponentModel.EventBasedAsync.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.WebHeaderCollection.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.Requests.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.ServicePoint.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.Security.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.Quic.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.Sockets.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Net.NameResolution.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\secur32.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\sspicli.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\mpr.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\MpClient.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Windows\System32\gpapi.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.Management.Infrastructure.CimCmdlets.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\Microsoft.Management.Infrastructure.Native.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Runtime.CompilerServices.VisualC.dll,-,-,-,-,-,-
13,C:\Program Files\PowerShell\7\pwsh.exe,-,-,-,-,-,SetValue,HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3191581004-3819144844-3633199379-1002\\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-
1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -exec bypass -c Invoke-Mimikatz",-,-,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\atl.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\mscoree.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscoreei.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\vcruntime140_clr0400.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\ucrtbase_clr0400.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\mscorlib\c5986fd5d6139abd4222b5cb6a32cadf\mscorlib.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System\6aaf038fc5a894ddf3cbce94407fb772\System.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\cryptsp.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\rsaenh.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\cryptbase.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clrjit.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Core\e950876872d82f53f34ddb39c91b2d04\System.Core.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\clbcatq.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\psapi.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Numerics\92568befc418011446e548ce95a1dfa3\System.Numerics.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Xml\4b4c18876d4db2b65562def74ec6630f\System.Xml.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Dired13b18a9#\c4585423a73adaee454e8b5a2bbc5034\System.DirectoryServices.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Management\03d1e04a6ac04cbc57f125944eefc3ce\System.Management.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wintrust.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\crypt32.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\msasn1.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\gpapi.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\msisip.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\wshext.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\AppxSip.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\OpcServices.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\pwrshsip.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Data\d9075d43740193513df92ce40e7eb314\System.Data.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\assembly\GAC_64\System.Data\v4.0_4.0.0.0__b77a5c561934e089\System.Data.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\ws2_32.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Configuration\b975269524a5b5c4024312664f699596\System.Configuration.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Transactions\dfb4bad9d5eed5a79b21677bff43283f\System.Transactions.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\Microsoft.NET\assembly\GAC_64\System.Transactions\v4.0_4.0.0.0__b77a5c561934e089\System.Transactions.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\secur32.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\sspicli.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.23110.3-0\MpClient.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\coml2.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\Windows.ApplicationModel.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\twinapi.appcore.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WinTypes.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WinMetadata\Windows.UI.winmd,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\WinMetadata\Windows.Data.winmd,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Confe64a9051#\168562c979bde30e369325e74ca2d255\System.Configuration.Install.ni.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\IPHLPAPI.DLL,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\dnsapi.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\nsi.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\dhcpcsvc6.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\dhcpcsvc.dll,-,-,-,-,-,-
7,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,C:\Windows\System32\winnsi.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.IO.Compression.dll,-,-,-,-,-,-
13,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-,-,-,-,SetValue,HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-3191581004-3819144844-3633199379-1002\\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Reflection.Metadata.dll,-,-,-,-,-,-
7,C:\Program Files\PowerShell\7\pwsh.exe,-,-,C:\Program Files\PowerShell\7\System.Collections.Immutable.dll,-,-,-,-,-,-
